case,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,82.8,,,
base,,80.0,,
base,,,84.4,
base,,,,83.6
base,87.1,,,
base,,82.1,,
base,,,86.3,
base,,,,85.7
base,84.6,,,
base,,82.4,,
base,,,85.9,
base,,,,86.0
base,85.9,,,
base,,85.8,,
base,,,83.6,
base,,,,86.0
base,85.5,,,
base,,86.0,,
base,,,86.0,
base,,,,88.6
base,86.4,,,
base,,87.4,,
base,,,89.5,
base,,,,87.3
base,86.8,,,
base,,88.0,,
base,,,87.2,
base,,,,88.5
base,87.3,,,
base,,89.3,,
base,,,90.0,
base,,,,88.9
base,87.0,,,
base,,88.5,,
base,,,88.1,
base,,,,88.7
base,88.1,,,
base,,88.3,,
base,,,87.9,
base,,,,88.0
base,89.4,,,
base,,88.3,,
base,,,89.5,
base,,,,89.3
base,87.6,,,
base,,89.2,,
base,,,88.3,
base,,,,89.3
base,88.1,,,
base,,89.4,,
base,,,90.2,
base,,,,89.4
base,87.9,,,
base,,89.1,,
base,,,89.5,
base,,,,89.0
base,87.3,,,
base,,88.8,,
base,,,90.1,
base,,,,88.8
base,89.8,,,
base,,88.8,,
base,,,88.9,
base,,,,89.1
base,87.4,,,
base,,89.7,,
base,,,88.2,
base,,,,89.2
base,89.3,,,
base,,89.3,,
base,,,87.7,
base,,,,89.2
base,89.6,,,
base,,88.9,,
base,,,89.9,
base,,,,89.8
base,89.5,,,
base,,88.8,,
base,,,89.6,
base,,,,89.3
base,87.5,,,
base,,88.9,,
base,,,88.5,
base,,,,89.7
base,88.1,,,
base,,89.4,,
base,,,88.2,
base,,,,88.9
base,88.2,,,
base,,89.1,,
base,,,88.0,
base,,,,89.3
base,88.2,,,
base,,91.7,,
base,,,87.7,
base,,,,89.4
base,89.8,,,
base,,91.3,,
base,,,90.2,
base,,,,89.7
base,90.4,,,
base,,89.2,,
base,,,87.9,
base,,,,89.3
base,89.6,,,
base,,89.3,,
base,,,87.8,
base,,,,89.3
base,89.7,,,
base,,89.4,,
base,,,88.0,
base,,,,89.4
base,88.1,,,
base,,89.6,,
base,,,89.7,
base,,,,89.5
base,89.8,,,
base,,89.3,,
base,,,89.8,
base,,,,89.3
base,89.6,,,
base,,89.8,,
base,,,89.9,
base,,,,89.3
base,87.7,,,
base,,88.8,,
base,,,89.8,
base,,,,89.3
base,87.4,,,
base,,89.1,,
base,,,88.7,
base,,,,89.2
base,89.2,,,
base,,89.0,,
base,,,89.4,
base,,,,89.3
base,87.6,,,
base,,89.9,,
base,,,90.0,
base,,,,89.4
base,89.6,,,
base,,89.4,,
base,,,88.1,
base,,,,89.3
base,88.1,,,
base,,89.5,,
base,,,88.5,
base,,,,89.4
base,89.8,,,
base,,89.8,,
base,,,88.7,
base,,,,89.4
base,89.9,,,
base,,89.9,,
base,,,90.4,
base,,,,89.2
base,89.6,,,
base,,89.0,,
base,,,89.8,
base,,,,89.9
base,88.2,,,
base,,89.0,,
base,,,89.8,
base,,,,89.2
base,89.5,,,
base,,89.1,,
base,,,88.7,
base,,,,89.9
base,88.7,,,
base,,89.5,,
base,,,87.8,
base,,,,89.1
base,89.4,,,
base,,88.8,,
base,,,90.1,
base,,,,89.4
base,90.0,,,
base,,89.3,,
base,,,88.1,
base,,,,90.1
base,88.8,,,
base,,88.8,,
base,,,88.7,
base,,,,89.4
base,88.4,,,
base,,89.1,,
base,,,89.8,
base,,,,89.4
base,87.6,,,
base,,88.8,,
base,,,88.5,
base,,,,89.4
base,87.6,,,
base,,88.7,,
base,,,88.2,
base,,,,89.2
base,88.2,,,
base,,90.0,,
base,,,87.7,
base,,,,89.2
