case/step,,,,TAAC
1,,,,0.219774
1024,,,,0.103243
1048576,,,,0.114288
10485760,,,,0.309548
52428800,,,,1.318277
268435456,,,,7.284738
1,,,,0.057363
1024,,,,0.09020299999999999
1048576,,,,0.085369
10485760,,,,0.247865
52428800,,,,1.397023
268435456,,,,5.486756
1,,,,0.07851
1024,,,,0.074609
1048576,,,,0.077734
10485760,,,,0.309398
52428800,,,,1.063818
268435456,,,,6.201573
1,,,,0.049519
1024,,,,0.04989
1048576,,,,0.08631899999999999
10485760,,,,0.30122499999999997
52428800,,,,1.272648
268435456,,,,6.508077999999999
1,,,,0.096082
1024,,,,0.10077499999999999
1048576,,,,0.09157499999999999
10485760,,,,0.301761
52428800,,,,1.332301
268435456,,,,7.193976999999999
1,,,,0.053703
1024,,,,0.096621
1048576,,,,0.09142399999999999
10485760,,,,0.28741099999999997
52428800,,,,1.3606829999999999
268435456,,,,7.5756749999999995
1,,,,0.052599
1024,,,,0.108552
1048576,,,,0.079109
10485760,,,,0.306942
52428800,,,,1.400776
268435456,,,,6.756781999999999
1,,,,0.051004
1024,,,,0.053855
1048576,,,,0.090491
10485760,,,,0.24228999999999998
52428800,,,,1.073067
268435456,,,,5.3237749999999995
1,,,,0.110326
1024,,,,0.052758
1048576,,,,0.074808
10485760,,,,0.322695
52428800,,,,1.444553
268435456,,,,7.0710619999999995
1,,,,0.094737
1024,,,,0.08531699999999999
1048576,,,,0.07471499999999999
10485760,,,,0.25298699999999996
52428800,,,,1.294582
268435456,,,,5.425386
1,,,,0.074545
1024,,,,0.049923999999999996
1048576,,,,0.09678099999999999
10485760,,,,0.248697
52428800,,,,1.054591
268435456,,,,5.282217999999999
1,,,,0.09884699999999999
1024,,,,0.066049
1048576,,,,0.094749
10485760,,,,0.353838
52428800,,,,1.4521789999999999
268435456,,,,5.287503
1,,,,0.092069
1024,,,,0.086463
1048576,,,,0.071375
10485760,,,,0.306693
52428800,,,,1.3346259999999999
268435456,,,,6.186622
1,,,,0.068738
1024,,,,0.065354
1048576,,,,0.07987
10485760,,,,0.335854
52428800,,,,1.4411909999999999
268435456,,,,6.077484
1,,,,0.053672
1024,,,,0.062565
1048576,,,,0.078384
10485760,,,,0.24973199999999998
52428800,,,,1.148047
268435456,,,,6.564882
1,,,,0.057531
1024,,,,0.053264
1048576,,,,0.086986
10485760,,,,0.316459
52428800,,,,1.251707
268435456,,,,6.610727
1,,,,0.10070599999999999
1024,,,,0.051025
1048576,,,,0.08646899999999999
10485760,,,,0.248829
52428800,,,,1.092884
268435456,,,,5.409146
1,,,,0.065791
1024,,,,0.067207
1048576,,,,0.07935099999999999
10485760,,,,0.322084
52428800,,,,1.337098
268435456,,,,6.863999
1,,,,0.062005
1024,,,,0.079678
1048576,,,,0.11234999999999999
10485760,,,,0.319594
52428800,,,,1.8261399999999999
268435456,,,,5.755573
1,,,,0.05737
1024,,,,0.08910599999999999
1048576,,,,0.070891
10485760,,,,0.23957099999999998
52428800,,,,1.307772
268435456,,,,6.541570999999999
