case/step,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount
size 1,362.28515625,362.28515625,0.0,6,,,,,,,,,,,,
size 2,362.296875,362.296875,0.0,5,,,,,,,,,,,,
size 4,362.36328125,362.3671875,0.00390625,5,,,,,,,,,,,,
size 6,362.62890625,362.64453125,0.015625,6,,,,,,,,,,,,
size 8,333.66015625,363.53515625,29.875,7,,,,,,,,,,,,
size 1,333.66015625,333.66015625,0.0,6,,,,,,,,,,,,
size 2,333.66015625,333.66015625,0.0,5,,,,,,,,,,,,
size 4,333.66015625,333.66015625,0.0,6,,,,,,,,,,,,
size 6,333.66015625,333.66015625,0.0,6,,,,,,,,,,,,
size 8,333.66015625,333.66015625,0.0,7,,,,,,,,,,,,
size 1,333.66015625,333.66015625,0.0,5,,,,,,,,,,,,
size 2,333.66015625,333.66015625,0.0,6,,,,,,,,,,,,
size 4,333.66015625,333.66015625,0.0,6,,,,,,,,,,,,
size 6,333.66015625,333.66015625,0.0,6,,,,,,,,,,,,
size 8,333.66015625,333.69140625,0.03125,8,,,,,,,,,,,,
size 1,333.66015625,333.66015625,0.0,6,,,,,,,,,,,,
size 2,333.66015625,333.66015625,0.0,5,,,,,,,,,,,,
size 4,333.66015625,333.66015625,0.0,6,,,,,,,,,,,,
size 6,333.66015625,333.66015625,0.0,6,,,,,,,,,,,,
size 8,334.16015625,334.16015625,0.0,7,,,,,,,,,,,,
size 1,334.16015625,334.16015625,0.0,5,,,,,,,,,,,,
size 2,334.16015625,334.16015625,0.0,5,,,,,,,,,,,,
size 4,334.16015625,334.16015625,0.0,6,,,,,,,,,,,,
size 6,334.16015625,334.16015625,0.0,6,,,,,,,,,,,,
size 8,334.41015625,334.41015625,0.0,7,,,,,,,,,,,,
size 1,334.41015625,334.41015625,0.0,6,,,,,,,,,,,,
size 2,334.41015625,334.41015625,0.0,6,,,,,,,,,,,,
size 4,334.41015625,334.41015625,0.0,6,,,,,,,,,,,,
size 6,334.41015625,334.41015625,0.0,6,,,,,,,,,,,,
size 8,334.66015625,334.671875,0.01171875,6,,,,,,,,,,,,
size 1,334.66015625,334.66015625,0.0,5,,,,,,,,,,,,
size 2,334.66015625,334.66015625,0.0,5,,,,,,,,,,,,
size 4,334.66015625,334.66015625,0.0,5,,,,,,,,,,,,
size 6,334.66015625,334.66015625,0.0,6,,,,,,,,,,,,
size 8,334.91015625,334.91015625,0.0,8,,,,,,,,,,,,
size 1,334.91015625,334.91015625,0.0,6,,,,,,,,,,,,
size 2,334.91015625,334.91015625,0.0,5,,,,,,,,,,,,
size 4,334.91015625,334.91015625,0.0,6,,,,,,,,,,,,
size 6,334.91015625,334.91015625,0.0,6,,,,,,,,,,,,
size 8,334.91015625,334.91015625,0.0,7,,,,,,,,,,,,
size 1,334.91015625,334.91015625,0.0,5,,,,,,,,,,,,
size 2,334.91015625,334.91015625,0.0,5,,,,,,,,,,,,
size 4,334.91015625,334.91015625,0.0,5,,,,,,,,,,,,
size 6,334.91015625,334.91015625,0.0,6,,,,,,,,,,,,
size 8,335.41015625,335.41015625,0.0,7,,,,,,,,,,,,
size 1,335.41015625,335.41015625,0.0,5,,,,,,,,,,,,
size 2,335.41015625,335.41015625,0.0,6,,,,,,,,,,,,
size 4,335.41015625,335.41015625,0.0,6,,,,,,,,,,,,
size 6,335.41015625,335.41015625,0.0,6,,,,,,,,,,,,
size 8,335.66015625,335.76953125,0.109375,7,,,,,,,,,,,,
size 1,335.66015625,335.66015625,0.0,6,,,,,,,,,,,,
size 2,335.66015625,335.66015625,0.0,6,,,,,,,,,,,,
size 4,335.66015625,335.66015625,0.0,6,,,,,,,,,,,,
size 6,335.66015625,335.66015625,0.0,6,,,,,,,,,,,,
size 8,335.66015625,336.04296875,0.3828125,7,,,,,,,,,,,,
size 1,335.66015625,335.66015625,0.0,5,,,,,,,,,,,,
size 2,335.66015625,335.66015625,0.0,5,,,,,,,,,,,,
size 4,335.66015625,335.66015625,0.0,6,,,,,,,,,,,,
